time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b
3.33s,10.00,10.00,0.00,0.04,0,5.00,119.94,0.04,119.95
5.87s,10.00,20.00,0.00,10.00,1,5.00,119.94,0.05,119.94
3.16s,10.00,30.00,0.00,20.00,1,6.67,119.94,0.04,119.95
3.61s,7.67,37.67,0.00,30.00,1,7.50,119.94,0.06,119.94
2.87s,15.00,52.67,0.00,37.68,0,7.56,119.95,0.06,119.94
4.54s,15.12,67.78,0.00,52.67,0,8.54,119.95,0.05,119.94
4.76s,17.07,84.85,0.00,67.79,0,10.10,119.95,0.00,119.94
3.67s,20.19,105.05,0.00,84.86,0,11.80,119.95,0.04,119.94
3.75s,23.60,128.65,0.00,104.89,1,13.44,22.39,0.05,119.95
3.48s,26.88,155.53,0.87,117.80,1,13.05,21.46,3.77,22.87
7.06s,26.11,181.64,3.76,134.89,1,13.42,22.32,7.13,22.86
6.01s,26.84,208.49,16.75,154.89,1,14.01,19.96,7.11,22.87
6.10s,28.01,236.50,23.60,174.93,1,14.28,23.01,3.90,24.97
6.07s,28.57,265.07,37.72,188.81,1,14.30,20.37,5.22,23.84
7.32s,28.59,293.66,47.02,208.05,1,14.65,21.56,4.11,23.83
5.99s,29.30,322.96,58.73,224.96,1,14.05,22.68,1.16,23.81
4.83s,28.10,351.06,73.48,239.48,1,12.93,20.70,2.38,24.51
5.55s,25.86,376.92,74.89,258.07,1,13.85,23.08,8.61,24.50
4.44s,14.85,391.77,82.99,278.12,1,18.60,22.90,10.02,22.80
5.83s,37.19,428.96,88.84,298.07,1,14.65,20.00,10.02,26.52
5.83s,29.30,458.26,88.84,318.07,1,15.73,26.17,10.02,28.94
4.93s,31.45,489.71,100.89,338.07,1,16.00,26.63,10.03,38.93
5.13s,32.01,521.72,110.19,358.07,1,16.01,25.70,10.03,38.94
4.69s,16.01,537.72,121.64,378.07,1,16.01,25.96,10.01,38.98
3.61s,16.01,553.73,133.64,398.07,1,16.01,19.97,10.00,29.97
4.10s,32.01,585.74,133.64,418.07,1,16.00,26.66,10.02,29.96
2.53s,32.00,617.74,137.67,438.09,1,16.01,21.98,6.01,29.98
4.45s,17.01,634.75,153.66,454.13,1,15.22,22.99,3.01,25.99
5.13s,30.45,665.20,159.63,468.12,1,14.02,20.01,7.53,20.95
5.27s,28.04,693.24,167.08,488.12,1,14.01,19.96,6.73,20.32
5.35s,28.02,721.25,167.08,508.12,1,14.01,23.32,10.05,25.01
5.10s,28.02,749.28,183.14,528.12,1,15.00,19.97,10.02,25.46
5.34s,30.00,779.28,191.16,548.12,1,16.01,24.00,1.99,29.96
5.95s,32.02,811.30,209.18,560.10,1,15.01,19.99,6.04,21.98
6.28s,30.01,841.31,221.21,580.09,1,14.43,20.97,5.37,21.98
5.93s,28.85,870.17,233.20,598.14,1,14.02,23.34,0.99,21.94
6.10s,28.04,898.21,250.07,610.10,1,12.69,20.00,4.72,21.91
6.35s,25.39,923.60,250.07,630.09,1,14.06,21.95,10.01,21.95
4.60s,28.12,951.71,263.50,650.09,1,15.00,19.97,10.02,21.92
6.09s,30.00,981.71,263.50,670.09,1,15.04,23.98,10.05,25.94
5.37s,30.07,1011.78,271.62,690.09,1,16.00,24.99,10.05,39.98
3.47s,17.00,1028.78,281.62,710.11,1,16.00,24.99,10.04,38.99
2.85s,17.00,1045.78,291.69,730.09,1,16.00,19.97,10.02,29.94
2.88s,17.00,1062.79,291.69,750.09,1,16.00,26.66,10.03,29.98
3.45s,32.01,1094.80,291.69,770.09,1,16.01,26.63,7.03,119.96
3.58s,32.02,1126.82,297.70,787.09,1,15.41,21.48,5.52,26.96
5.10s,30.81,1157.63,312.72,804.10,1,14.82,21.99,3.01,26.98
5.52s,29.63,1187.26,316.72,820.11,1,14.00,23.32,7.52,26.96
5.31s,14.00,1201.26,337.17,840.12,1,14.02,20.00,6.68,26.49
5.02s,28.05,1229.31,337.17,860.09,1,14.61,24.31,10.02,26.45
2.61s,29.21,1258.52,337.17,880.09,1,15.20,25.33,10.05,119.95
4.66s,30.40,1288.92,339.22,900.09,1,16.00,26.63,10.00,39.18
6.35s,32.00,1320.92,348.43,920.09,1,16.00,25.19,10.00,38.98
7.07s,31.99,1352.91,358.83,940.09,1,16.02,25.96,10.00,38.99
4.50s,17.02,1369.92,370.82,960.09,1,16.03,25.96,10.04,38.96
3.95s,32.06,1401.98,382.81,980.12,1,16.02,19.98,10.03,29.96
5.44s,32.04,1434.02,382.81,1000.12,1,16.03,26.67,10.04,29.99
4.04s,17.03,1451.06,391.89,1020.14,1,16.04,26.68,10.01,39.00
5.89s,32.09,1483.14,403.93,1040.09,1,16.00,20.00,10.00,29.91
6.63s,32.00,1515.15,413.05,1060.09,1,16.00,19.99,10.00,29.92
5.79s,32.00,1547.15,413.05,1080.09,1,16.02,26.64,10.00,29.96
5.21s,32.03,1579.18,425.05,1100.09,1,20.01,26.00,10.01,29.95
5.27s,20.01,1599.19,437.06,1120.09,1,16.02,26.01,10.00,38.99
4.92s,32.03,1631.22,449.10,1140.09,1,16.01,20.00,10.04,29.96
5.78s,32.02,1663.24,461.13,1160.13,1,16.03,19.96,10.00,29.95
5.67s,32.07,1695.31,473.16,1180.09,1,16.02,24.99,0.08,29.92
6.51s,32.04,1727.35,495.17,1190.13,1,15.01,19.96,7.49,20.01
5.40s,30.02,1757.37,495.17,1210.13,1,14.07,20.01,10.01,20.01
5.21s,28.13,1785.51,517.24,1230.13,1,15.00,19.97,10.00,19.99
5.79s,30.00,1815.51,517.24,1250.13,1,15.00,23.31,10.00,24.98
5.75s,15.00,1830.51,525.37,1270.13,1,20.00,24.98,10.01,29.98
3.90s,20.00,1850.51,535.37,1290.13,1,16.00,19.96,10.02,29.95
3.72s,32.01,1882.51,535.37,1310.16,1,16.04,26.66,10.03,29.98
3.74s,32.07,1914.59,542.38,1330.16,1,16.00,22.46,5.03,29.97
7.25s,32.01,1946.60,559.45,1345.13,1,15.02,22.46,3.81,24.97
6.81s,30.03,1976.63,576.42,1360.18,1,14.01,19.98,5.04,24.96
5.25s,28.03,2004.65,586.47,1380.16,1,14.03,22.47,2.47,23.33
6.06s,28.05,2032.71,599.52,1395.13,1,13.05,21.64,2.51,23.33
5.36s,26.09,2058.80,612.53,1410.18,1,13.01,20.01,3.34,24.97
6.40s,26.02,2084.82,618.64,1430.16,1,14.00,22.48,3.94,23.31
3.44s,15.00,2099.81,629.68,1445.13,1,13.05,20.51,3.92,23.33
4.31s,26.09,2125.90,630.75,1464.07,1,13.82,22.98,8.97,23.89
3.76s,27.64,2153.55,631.82,1484.08,1,15.02,19.97,8.95,23.90
7.38s,30.05,2183.60,631.84,1504.07,1,14.79,24.62,10.03,26.95
6.11s,29.59,2213.19,639.48,1524.07,1,15.80,25.02,10.02,37.06
4.88s,15.80,2228.99,649.53,1544.07,1,16.00,24.78,10.05,38.95
3.75s,16.00,2244.99,659.12,1564.11,1,16.02,20.00,10.04,29.92
3.59s,32.03,2277.02,659.12,1584.07,1,16.01,26.62,10.03,29.98
3.04s,16.01,2293.03,662.95,1604.08,1,16.01,22.09,5.81,29.93
4.36s,32.02,2325.05,667.15,1619.88,1,15.18,25.26,8.94,25.73
4.00s,16.18,2341.24,667.15,1639.89,1,15.16,25.24,8.59,25.77
3.48s,30.31,2371.55,675.18,1659.87,1,15.18,23.99,10.00,27.16
3.63s,16.18,2387.73,675.18,1679.87,1,15.19,25.26,10.05,26.84
2.43s,16.19,2403.92,681.68,1699.87,1,16.03,23.80,10.01,29.97
3.43s,32.05,2435.98,681.68,1719.91,1,16.03,26.63,10.00,29.95
3.50s,32.05,2468.03,686.11,1739.87,1,16.02,21.90,6.21,29.91
5.61s,32.03,2500.06,701.98,1756.05,1,15.27,23.03,2.88,26.17
5.27s,30.53,2530.60,708.12,1769.91,1,14.05,23.31,7.52,26.15
5.42s,14.05,2544.65,720.15,1789.91,1,14.00,23.32,10.02,26.15
4.75s,28.00,2572.65,730.69,1809.92,1,14.02,19.96,10.04,24.99
