time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
138.31ms,6.97,6.97,0.00,0.00,0,5.00,120.00,0.06,120.00,5.01,6.97
96.49ms,1.00,7.97,0.00,6.97,1,5.00,120.00,0.06,120.00,1.00,1.00
91.69ms,1.00,8.97,0.00,7.97,1,5.01,120.00,0.06,120.00,1.00,1.00
82.87ms,8.96,17.94,0.00,9.00,0,5.01,120.00,0.06,120.00,6.94,8.93
78.77ms,1.00,18.94,0.00,17.95,0,5.04,120.00,0.06,120.00,0.06,0.98
82.10ms,1.00,19.94,0.00,18.95,0,5.01,120.00,0.06,120.00,0.99,0.99
81.92ms,10.96,30.89,0.00,19.94,0,5.01,120.00,0.06,120.00,8.98,10.95
84.08ms,1.00,31.89,0.00,30.90,0,5.52,120.00,0.06,120.00,0.06,1.00
87.13ms,1.00,32.89,0.00,31.90,0,5.52,120.00,0.06,120.00,1.00,1.00
80.57ms,12.95,45.84,0.00,32.89,1,5.52,120.00,0.06,120.00,10.97,12.95
88.25ms,1.00,46.84,0.00,45.84,1,6.47,120.00,0.06,120.00,1.00,1.00
73.79ms,1.00,47.84,0.00,46.84,1,6.47,120.00,0.05,120.00,1.00,1.00
82.82ms,14.94,62.79,0.00,47.84,1,6.53,120.00,0.06,120.00,12.96,14.94
78.38ms,1.00,63.79,0.00,62.79,1,7.47,120.00,0.06,120.00,1.00,1.00
66.89ms,1.00,64.79,0.00,63.79,1,7.47,120.00,0.06,120.00,1.00,1.00
80.64ms,16.93,81.72,0.00,64.79,1,7.50,120.00,0.06,120.00,14.95,16.93
87.50ms,1.00,82.72,0.00,81.72,1,8.47,120.00,0.06,120.00,1.00,1.00
70.19ms,1.00,83.72,0.00,82.72,1,8.50,120.00,0.06,120.00,1.00,1.00
83.54ms,18.93,102.64,0.00,83.72,1,8.50,120.00,0.06,120.00,16.96,18.93
87.99ms,1.00,103.64,0.00,102.64,1,9.46,120.00,0.06,120.00,1.00,1.00
73.97ms,1.00,104.64,0.00,103.64,1,9.46,120.00,0.06,120.00,1.00,1.00
82.84ms,20.92,125.56,0.00,104.64,1,9.46,120.00,0.04,120.00,18.96,20.92
103.26ms,1.00,126.56,0.00,124.64,1,10.01,19.96,0.06,120.00,1.02,1.92
85.86ms,1.00,127.56,0.00,126.57,0,10.01,19.98,0.93,120.00,0.99,0.99
97.27ms,22.91,150.47,0.00,127.57,0,10.00,20.98,0.97,120.00,20.94,22.91
155.52ms,1.00,151.47,0.00,147.57,1,10.00,19.99,0.04,120.00,1.04,3.91
108.79ms,1.00,152.47,0.00,151.47,1,10.00,19.99,2.92,120.00,1.00,1.00
96.95ms,24.90,177.38,0.00,152.47,1,10.04,20.98,2.94,120.00,22.96,24.90
115.88ms,1.00,178.38,0.00,172.47,1,10.02,19.99,0.04,120.00,1.01,5.90
89.82ms,1.00,179.38,0.00,178.38,1,10.00,19.99,4.95,120.00,1.00,1.00
106.17ms,24.96,204.34,0.00,179.38,1,10.01,20.99,4.92,120.00,24.91,24.96
114.09ms,1.00,205.34,0.00,199.38,1,10.02,19.99,0.01,120.00,1.02,5.96
96.13ms,1.00,206.34,0.00,205.38,0,10.00,20.00,4.96,120.00,0.96,0.96
105.70ms,24.96,231.30,0.00,206.34,1,10.04,20.98,4.96,120.00,24.96,24.96
128.29ms,1.00,232.30,0.00,226.34,1,10.04,19.96,0.04,120.00,1.02,5.96
98.35ms,1.00,233.30,0.00,232.32,0,10.00,20.00,4.96,120.00,0.98,0.98
103.35ms,24.96,258.26,0.00,233.31,0,10.00,20.93,4.99,120.00,24.95,24.95
117.27ms,1.00,259.26,0.00,253.34,1,10.02,20.01,0.03,120.00,1.02,5.92
99.56ms,1.00,260.26,0.00,259.26,0,10.06,20.04,4.92,120.00,1.00,1.00
107.70ms,25.02,285.28,0.00,260.26,0,10.06,21.02,4.92,120.00,24.97,25.02
120.63ms,1.00,286.28,0.00,280.29,1,10.02,20.01,0.04,120.00,1.03,5.98
95.86ms,1.00,287.28,0.00,286.28,0,10.02,20.04,4.98,120.00,1.00,1.00
101.92ms,25.02,312.30,0.00,287.28,1,10.02,21.03,4.99,120.00,25.02,25.02
127.62ms,1.00,313.30,0.00,307.30,1,10.06,20.01,0.04,120.00,1.03,6.00
82.92ms,1.00,314.30,0.00,313.30,1,10.01,20.00,5.02,120.00,1.00,1.00
101.32ms,25.02,339.32,0.00,314.30,0,10.02,21.02,5.00,120.00,25.02,25.02
123.91ms,1.00,340.32,0.00,334.33,1,10.02,20.01,0.04,120.00,1.03,5.99
96.00ms,1.00,341.32,0.00,340.32,1,10.06,20.01,5.01,120.00,1.00,1.00
106.41ms,25.02,366.34,0.00,341.32,1,10.02,21.03,4.99,120.00,25.02,25.02
117.70ms,1.00,367.34,0.00,361.32,1,10.02,19.99,0.04,120.00,1.03,6.02
93.42ms,1.00,368.34,0.00,367.34,1,10.02,19.99,5.03,120.00,1.00,1.00
99.61ms,24.96,393.30,0.00,368.34,1,10.01,20.97,5.05,120.00,24.96,24.96
120.05ms,1.00,394.30,0.00,388.34,1,10.04,19.96,0.04,120.00,1.02,5.96
91.89ms,1.00,395.30,0.00,394.30,1,10.00,19.99,4.97,120.00,1.00,1.00
100.43ms,24.96,420.26,0.00,395.30,1,10.04,20.98,4.96,120.00,24.96,24.96
124.68ms,1.00,421.26,0.00,415.30,1,10.04,19.96,0.04,120.00,1.02,5.96
89.51ms,1.00,422.26,0.00,421.26,1,10.00,19.99,4.97,120.00,1.00,1.00
96.08ms,24.96,447.22,0.00,422.26,1,10.04,20.98,4.98,120.00,24.96,24.96
114.51ms,1.00,448.22,0.00,442.26,1,10.03,19.99,0.01,120.00,1.02,5.96
91.08ms,1.00,449.22,0.00,448.22,1,10.04,19.96,4.96,120.00,1.00,1.00
96.57ms,24.96,474.18,0.00,449.22,1,10.00,20.96,4.96,120.00,24.96,24.96
116.59ms,1.00,475.18,0.00,469.22,1,10.03,19.99,0.01,120.00,1.02,5.96
87.43ms,1.00,476.18,0.00,475.18,1,10.00,19.99,4.97,120.00,1.00,1.00
97.63ms,24.96,501.14,0.00,476.18,1,10.04,20.96,4.96,120.00,24.96,24.96
122.52ms,1.00,502.14,0.00,496.18,1,10.02,19.99,0.01,120.00,1.02,5.96
86.85ms,1.00,503.14,0.00,502.14,1,10.04,19.96,4.96,120.00,1.00,1.00
97.36ms,24.96,528.10,0.00,503.14,1,10.04,20.98,4.98,120.00,24.96,24.96
120.60ms,1.00,529.10,0.00,523.18,1,10.04,20.03,0.01,120.00,1.02,5.92
98.41ms,1.00,530.10,0.00,529.13,0,10.02,20.04,4.92,120.00,0.97,0.97
101.57ms,25.02,555.12,0.00,530.11,0,10.02,21.02,4.95,120.00,24.96,25.01
113.13ms,1.00,556.12,0.00,550.13,1,10.02,20.01,0.02,120.00,1.03,5.99
97.99ms,1.00,557.12,0.00,556.14,0,10.01,20.03,4.99,120.00,0.98,0.98
109.08ms,25.02,582.14,0.00,557.13,0,10.01,20.95,5.00,120.00,25.01,25.01
127.06ms,1.00,583.14,0.00,577.15,1,10.01,20.00,0.02,120.00,1.03,6.00
98.45ms,1.00,584.14,0.00,583.16,0,10.05,20.02,5.00,120.00,0.98,0.98
103.24ms,25.02,609.16,0.00,584.15,0,10.05,21.00,5.00,120.00,25.01,25.01
118.63ms,1.00,610.16,0.00,604.18,1,10.02,20.01,0.03,120.00,1.03,5.98
105.55ms,1.00,611.16,0.00,610.16,0,10.02,20.04,4.98,120.00,1.00,1.00
106.52ms,25.02,636.18,0.00,611.16,0,10.06,21.00,5.00,120.00,25.02,25.02
126.91ms,1.00,637.18,0.00,631.20,1,10.02,20.01,0.03,120.00,1.03,5.98
89.59ms,1.00,638.18,0.00,637.18,1,10.06,20.01,5.01,120.00,1.00,1.00
106.83ms,25.02,663.20,0.00,638.18,1,10.06,21.00,5.01,120.00,25.02,25.02
114.82ms,1.00,664.20,0.00,658.18,1,10.02,19.95,0.05,120.00,1.03,6.02
88.17ms,1.00,665.20,0.00,664.20,1,10.00,19.99,5.04,120.00,1.00,1.00
103.93ms,24.96,690.16,0.00,665.20,1,10.01,20.99,5.03,120.00,24.96,24.96
116.32ms,1.00,691.16,0.00,685.20,1,10.04,19.96,0.04,120.00,1.02,5.96
88.24ms,1.00,692.16,0.00,691.16,1,10.04,19.98,4.98,120.00,1.00,1.00
102.93ms,24.96,717.12,0.00,692.16,1,10.04,20.98,4.98,120.00,24.96,24.96
112.15ms,1.00,718.12,0.00,712.16,1,10.02,19.99,0.01,120.00,1.02,5.96
87.42ms,1.00,719.12,0.00,718.12,1,10.00,19.99,4.97,120.00,1.00,1.00
101.29ms,24.96,744.08,0.00,719.12,1,10.04,20.96,4.96,120.00,24.96,24.96
119.28ms,1.00,745.08,0.00,739.12,1,10.02,19.99,0.01,120.00,1.02,5.96
88.56ms,1.00,746.08,0.00,745.08,1,10.00,19.99,4.97,120.00,1.00,1.00
98.64ms,24.96,771.04,0.00,746.08,1,10.00,20.98,4.98,120.00,24.96,24.96
118.76ms,1.00,772.04,0.00,766.08,1,10.04,19.96,0.04,120.00,1.02,5.96
84.83ms,1.00,773.04,0.00,772.04,1,10.04,19.98,4.98,120.00,1.00,1.00
97.59ms,24.96,798.00,0.00,773.04,1,10.04,20.98,4.98,120.00,24.96,24.96
124.57ms,1.00,799.00,0.00,793.04,1,10.02,19.99,0.01,120.00,1.02,5.96
87.66ms,1.00,800.00,0.00,799.00,1,10.04,19.96,4.96,120.00,1.00,1.00
101.20ms,24.96,824.96,0.00,800.00,1,10.04,20.96,4.96,120.00,24.96,24.96
